"I consent to the consent forms (linked below)
Minors: https://docs.google.com/document/d/14w6gp9QchbVqPDLv1psL1NjiErK1QITEKm_ZILVbOvU/edit?usp=sharing
Parental consent form:
https://docs.google.com/document/d/1HsqcdTJtpVB8HqA9XQOMGX9iDxjjG9gf4zE7TLtf0ZQ/edit?usp=sharing
",Sex,Grade,Classes,Sleep,Homework,Freetime,Work,Extracurricular,EnjoymentExtracurricular,Extraversion,Family,Strictness,Friends,Relationship,Loneliness,Happiness,HappinessComparison,CharacterizationHappiness,CharacterizationDepression,Mental Health,SHC
Yes,Male,12,0,4.5,8,1,25,2,5,5,1,3,4,1,1,1,1,2,5,1,2.25
Yes,Male,11,4,7,7,3,36,1.5,6,2,3,5,2,1,2,3,3,1,3,3,2.5
Yes,Male,11,4,6,4,0,0,10,6,2,4,2,5,1,2,5,6,4,4,6,4.75
Yes,Female,9,0,8,1,1.5,0,16,7,2,6,1,7,1,6,6,7,6,6,6,6.25
Yes,Female,12,5,6,7,1.5,2,20,6,7,4,3,7,1,3,4,5,6,4,4,4.75
Yes,Female,11,0,7,1,4,6,5,2,4,6,6,7,7,3,4,2,3,5,3,3.5
Yes,Male,11,5,7,3,3,0,5,6,1,5,6,6,1,3,4,3,1,5,3,3.25
Yes,Female,10,5,8.5,1,4,0,0,4,2,5,1,5,1,2,6,6,3,7,5,5.5
Yes,Male,10,4,6,2,7,0,24,6,6,5,3,7,1,4,6,7,4,7,6,6
Yes,Female,10,0,5,7,6,0,4,6,1,6,6,5,4,2,2,2,2,3,2,2.25
Yes,Male,10,3,8.5,2,3.5,0,2.5,6,3,6,4,6,1,6,5,3,4,7,5,4.75
Yes,Male,9,2,8,2,5,0,2,7,4,3,6,5,1,6,5,3,3,5,4,4
Yes,Other,9,5,9,1,4,0,3,6,3,4,1,6,1,5,5,2,1,5,5,3.25
Yes,Male,11,6,6.5,0.5,2,20,3,6,5,7,3,7,1,3,5,6,1,3,5,3.75
Yes,Female,12,5,8,2,1,0,15,7,5,7,2,6,4,6,7,6,5,7,6,6.25
Yes,Female,12,4,5,10,2,0,0,4,2,1,1,6,6,4,2,2,1,5,2,2.5
Yes,Female,10,4,6,2,3,0,2,6,2,1,2,4,1,1,2,2,2,5,2,2.75
Yes,Female,10,1,8,6,2,0,2,6,3,5,5,2,1,3,4,4,2,5,5,3.75
Yes,Male,9,2,7,4,1,0,3,7,5,7,6,5,4,5,7,7,5,2,6,5.25
Yes,Male,12,2,4,2,2,0,3,1,3,4,4,2,1,1,2,2,2,6,2,3
Yes,Male,12,5,6,5,2,0,25,6,3,4,2,6,6,4,5,4,6,2,6,4.25
Yes,Male,12,7,7,10,0.5,0,0,4,4,4,4,6,1,4,4,4,4,4,4,4
Yes,Male,10,3,8,0,10,0,0,4,5,2,7,1,1,1,2,3,3,6,3,3.5
Yes,Female,11,6,4.5,5,2,40,5,4,5,2,2,3,4,2,6,4,5,5,5,5
Yes,Female,10,6,6,5,3,0,11,2,5,3,2,7,1,5,5,4,3,3,2,3.75
Yes,Female,12,6,6,5,2,0,3,6,4,2,3,5,1,2,5,5,3,5,5,4.5
Yes,Female,10,4,5.5,1.5,2,0,16,6,2,5,2,7,7,2,4,3,3,5,3,3.75
Yes,Female,10,2,7,1.5,1.5,0,20,6,3,5,7,7,1,3,5,5,5,5,5,5
Yes,Female,11,7,6,7,1,0,0,4,2,6,2,5,1,4,4,3,1,5,2,3.25
Yes,Female,10,0,6,2,2,0,6,5,5,7,6,6,2,3,5,2,4,5,4,4
Yes,Male,11,4,8.5,1,3,0,7,5,6,6,3,6,2,6,7,7,7,7,6,7
Yes,Male,10,0,8,8,8,0,1,3,1,3,5,1,1,2,2,1,2,5,2,2.5
Yes,Male,12,3,5,1.5,4,0,2,3,1,6,6,5,1,2,3,3,1,1,3,2
Yes,Male,11,7,7,4,4,7,5,1,1,6,3,5,1,1,1,1,1,1,3,1
Yes,Male,10,7,9,1,3,0,7,7,4,4,7,4,1,1,4,7,4,4,4,4.75
Yes,Male,12,7,6,8,7,0,15,7,4,3,3,5,1,2,3,4,1,5,4,3.25
Yes,Male,11,10,7,2,2,3,4,6,6,7,2,7,6,3,6,5,5,6,4,5.5
Yes,Female,12,4,6,14,21,0,2,6,2,3,6,5,6,5,2,1,1,6,2,2.5
Yes,Female,10,0,6.5,2.5,5,8.5,0,4,2,7,6,3,7,4,5,5,3,4,5,4.25
Yes,Male,9,0,9,1.5,2,10,9,6,1,5,4,3,1,2,2,1,1,4,2,2
Yes,Female,10,4,8,1,2,0,15,5,3,6,5,1,1,3,5,6,5,7,5,5.75
Yes,Male,9,0,5,1,0,0,5,2,2,1,6,2,1,2,5,2,2,2,2,2.75
Yes,Female,12,5,8,2,3,10,5,5,3,5,2,6,1,5,5,6,5,5,5,5.25
Yes,Female,10,2,5,5,2,0,11,3,2,3,2,6,1,2,2,2,3,3,2,2.5
Yes,Male,11,3,7.5,2,2.5,0,3,6,5,7,5,4,2,2,4,3,2,5,5,3.5
Yes,Female,10,4,8,1,7,0,0,4,1,5,6,6,1,1,3,2,3,3,4,2.75
Yes,Female,10,0,8,4,4,0,0,1,4,7,5,1,1,2,6,2,6,6,4,5
Yes,Female,12,4,8,2,5,40,12,5,7,3,6,6,2,7,4,4,3,4,5,3.75
Yes,Male,12,7,6,1,1,0,0,4,5,5,6,3,7,3,3,3,3,5,2,3.5
Yes,Male,11,3,5,1,1,0,0,1,4,1,1,4,4,4,1,2,2,6,1,2.75
Yes,Male,11,1,7,2,3,0,1,5,3,7,3,6,1,3,4,4,3,5,4,4
Yes,Female,10,6,7,9,3,60,5,6,3,4,3,7,1,3,4,2,1,5,3,3
Yes,Female,11,7,7.5,4,1,0,14,7,3,7,6,7,7,5,3,2,4,2,1,2.75
Yes,Male,11,7,6,8,4,0,4,4,2,4,4,5,4,3,4,5,2,6,3,4.25
Yes,Other,11,3.5,6.5,2,2,20,8,6,1,5,5,7,7,4,5,3,2,5,2,3.75
Yes,Female,11,5,6,1,6,0,3,5,2,3,6,6,4,1,1,1,1,2,3,1.25
Yes,Female,11,6,4,4,3,0,5,5,3,4,1,7,1,2,3,4,2,1,2,2.5
Yes,Male,12,8,6,0,4,40,0,1,5,6,7,7,1,6,1,2,5,4,2,3
Yes,Male,9,9,6,8.5,3,11.5,6,2,3,4,5,1,1,2,4,3,2,4,2,3.25
Yes,Female,10,4,7.5,0.25,2,13.5,4,7,2,4,5,7,1,4,4,3,4,3,4,3.5
Yes,Male,10,2,5,5,4,0,6,5,1,3,3,6,1,3,3,3,1,6,3,3.25
Yes,Male,12,8,5,0,8,0,0,1,2,1,1,5,1,1,1,1,1,1,1,1
Yes,Male,10,4,5.5,0,4,0,0,4,3,5,5,6,1,1,4,3,2,2,3,2.75
Yes,Male,12,2,7.5,0.5,6,8,0,6,5,7,5,7,5,4,7,4,5,5,6,5.25
Yes,Male,11,6,6,1,5,0,7,5,5,6,3,7,1,2,4,4,4,2,5,3.5
Yes,Female,12,3,8,0.5,8,15,6,7,3,7,7,7,1,6,1,6,6,1,5,3.5
Yes,Male,10,7,6,3,1,48,4,4,1,5,5,3,1,2,2,2,2,2,2,2
Yes,Male,11,4,7.5,2,3.5,0,3,5,1,3,6,5,1,2,5,5,5,6,4,5.25
Yes,Male,10,2,4,6,3,0,4,6,4,7,6,7,1,5,5,4,4,2,5,3.75
Yes,Male,12,4,7,6,2,0,5,6,2,6,3,2,1,1,3,3,2,5,2,3.25
Yes,Male,12,5,5,4,3,30,10,7,2,6,6,7,1,2,2,2,1,1,3,1.5
Yes,Female,10,4,4,2,30,0,20,7,2,3,4,6,1,1,4,3,3,4,4,3.5
Yes,Male,11,9,9,4,3,0,0,1,3,5,5,7,1,4,4,4,1,3,3,3
Yes,Male,9,1,7,0,7,0,5,6,4,6,6,3,1,5,6,6,3,5,6,5
Yes,Female,10,7,5,4,10,2,0,1,3,2,3,2,1,1,1,1,2,1,2,1.25
Yes,Male,11,3,7,6,8,38,13,5,1,4,3,3,1,3,6,4,3,5,3,4.5
Yes,Male,12,2,7,1,6,2,2,6,1,4,6,4,3,2,5,6,3,4,6,4.5
Yes,Female,11,4,11,2,4,0,1.5,7,3,5,4,1,1,3,5,4,5,4,3,4.5
Yes,Male,11,4,7,1,5,14,4,5,3,5,5,5,4,4,4,4,4,4,4,4
Yes,Male,12,1,7,1,3,0,1,6,3,3,6,1,1,2,3,2,4,6,3,3.75
Yes,Male,10,7,6,0,4,20,7,6,3,2,4,3,4,2,3,5,3,3,5,3.5
Yes,Male,12,7,8,2,3,0,5,7,7,7,4,7,4,7,7,7,7,7,5,7
Yes,Male,11,4,6,2,5,2,1,6,1,5,3,2,1,1,2,1,1,2,2,1.5
Yes,Female,12,1,5,2,5,0,1,5,2,2,3,7,1,3,3,3,2,3,3,2.75
Yes,Male,9,0,9,1,7,40,4,6,5,7,7,7,4,2,6,5,6,2,6,4.75
Yes,Male,11,12,8,2,4,0,8,5,2,3,3,6,1,1,2,2,2,5,3,2.75
Yes,Male,12,4,7,3,3,0,0,1,1,6,5,7,1,4,5,5,4,4,3,4.5
Yes,Male,11,5,5,6,1,0,12,5,1,3,1,7,5,4,3,4,4,3,2,3.5
Yes,Female,12,8,4,8,8,12,20,4,1,6,4,6,1,6,4,5,4,4,4,4.25
Yes,Female,12,2,6,1,2,16,20,3,2,5,4,6,1,2,3,2,1,3,3,2.25
Yes,Male,11,7,6,1,3,0,15,5,4,4,5,6,1,4,5,5,3,6,5,4.75
Yes,Male,10,7,8.5,1,7,0,8,6,6,3,2,7,1,4,6,6,5,5,4,5.5
Yes,Male,11,5,7,3,5,0,2,5,3,4,6,5,1,3,2,3,5,3,3,3.25
Yes,Male,11,4,7,8,1,0,0,4,5,7,2,6,6,3,6,5,6,2,5,4.75
Yes,Male,12,5,8,0.5,3,0,30,7,5,7,5,7,2,6,7,7,6,7,7,6.75
Yes,Female,12,3,6.5,1,9,0,7,6,5,7,5,6,1,3,4,3,2,5,5,3.5
Yes,Female,10,5,6,4,3,0,5,6,1,3,4,5,1,1,1,1,1,1,1,1
Yes,Male,12,5,6,1,4,2,14,6,2,4,5,5,6,5,5,5,5,6,5,5.25
Yes,Male,9,8,8,2,6,0,5,5,3,4,3,5,1,2,3,3,4,2,4,3
Yes,Female,11,9,7,2,3,0,16,6,4,3,3,5,6,4,4,4,4,4,3,4
Yes,Male,11,1,5,2.5,8,0,3,5,5,3,4,7,3,4,4,3,3,2,2,3
Yes,Male,11,3,4,5,9,0,1,5,4,6,6,5,1,3,4,2,3,2,3,2.75
Yes,Male,11,2,6.5,1,1,0,8,5,4,4,2,6,1,3,3,2,2,5,3,3
Yes,Female,10,0,9,1,3,0,4,5,2,6,5,3,1,2,2,3,1,1,3,1.75
Yes,Male,11,3,6,0,10,0,0,7,4,3,3,5,1,3,5,5,5,5,4,5
Yes,Male,10,3,5,4,1,0,30,6,3,1,1,3,7,2,2,2,2,3,1,2.25
Yes,Male,12,5,6,2,5,0,0,4,5,6,6,2,1,1,5,2,2,5,4,3.5
Yes,Female,11,8,8,1.5,5,20,0,1,4,6,5,6,1,6,6,5,2,4,5,4.25
Yes,Female,10,7,4.5,8,1,0,3,5,2,4,5,4,1,1,4,3,5,3,2,3.75
Yes,Male,12,6,7,2,5,4,1,7,4,1,3,3,1,2,3,4,3,3,3,3.25
Yes,Male,11,4,7,2,2,0,20,7,4,6,3,6,1,5,6,6,6,6,6,6
Yes,Female,10,3,7,1,3,0,0,4,3,5,7,5,1,3,1,1,1,5,3,2
Yes,Female,9,2,5,4,1,0,0,4,3,1,1,7,6,1,3,2,3,1,2,2.25
Yes,Male,12,4,8,3,2,0,2,6,1,3,4,4,1,4,5,4,1,5,3,3.75
Yes,Male,10,2,6,1,4,3,0,7,7,6,3,7,4,3,6,7,4,4,6,5.25
Yes,Male,10,3,9,2,1,0,2,6,4,7,5,5,1,1,6,6,6,7,6,6.25
Yes,Male,11,5,9,0.5,2,0,0,4,4,3,6,5,1,1,4,5,5,3,5,4.25
Yes,Male,10,1,8.5,1,4,0,4,7,4,6,5,4,1,5,7,6,6,7,6,6.5
Yes,Female,10,2,8,1,6,0,0,4,2,7,7,7,4,7,6,6,5,3,6,5
Yes,Male,11,7,6,4,1,0,6,6,7,6,4,6,1,2,5,5,4,4,6,4.5
Yes,Female,11,3,7,2,3,21,0,4,5,4,2,2,1,1,4,2,2,3,2,2.75
Yes,Female,11,5,7,3,14,0,10,6,3,5,6,6,1,4,4,5,5,3,5,4.25
Yes,Male,11,4,5.5,0,8,0,0,4,4,1,6,7,1,1,1,1,5,4,2,2.75
Yes,Female,10,3,9,2,2,0,3,7,2,5,2,3,1,2,5,4,4,4,4,4.25
Yes,Female,10,2.5,6,4.5,1,0,5,7,3,6,5,3,1,2,4,5,3,5,3,4.25
Yes,Female,10,2,5,5,3,0,6,4,3,7,6,7,5,3,5,4,4,6,3,4.75
Yes,Other,10,7,5,1,3,0,2,6,3,5,5,6,1,2,3,3,3,5,3,3.5
Yes,Male,11,7,5,3,4,0,8,6,5,5,5,6,1,3,5,4,4,3,5,4
Yes,Female,10,5,5,0.5,10,10,4,5,5,2,3,4,7,4,5,5,5,5,5,5
Yes,Male,11,5,9,2.5,4,10,10.5,7,3,3,1,7,4,3,4,3,5,3,3,3.75
Yes,Male,9,0,7,0,7,0,0,1,5,7,7,7,1,4,6,5,3,7,7,5.25
Yes,Male,11,4,7,8,4,0,0,4,5,5,3,6,1,2,5,3,4,1,4,3.25
Yes,Male,10,3,7,1,3,0,0,1,5,6,6,3,1,1,1,2,1,6,2,2.5
Yes,Male,9,8,4,3,3,0,1,2,1,3,1,7,1,2,3,2,3,2,2,2.5
Yes,Male,9,1,8,1,4,0,3,3,1,7,6,3,1,2,4,3,5,4,2,4
Yes,Female,11,0,8,0,6,10,0,4,7,3,1,7,1,4,5,4,6,5,4,5
Yes,Male,10,2,7.5,2,6,0,4,4,2,4,2,6,1,1,4,2,2,2,3,2.5
Yes,Female,11,0,7,1,5,0,3,5,4,5,4,5,4,1,3,4,2,4,3,3.25
Yes,Male,9,7,4,1,8,40,1,4,5,6,5,6,4,4,1,1,2,6,2,2.5
Yes,Male,9,3,5,2,5,0,2,3,5,7,7,7,1,1,3,1,3,2,2,2.25
Yes,Male,12,6,7.5,8,3.5,0,5,7,3,6,2,6,1,2,5,3,1,6,5,3.75
Yes,Male,11,7,6,1.5,6,14,3,1,1,3,3,4,1,6,3,3,2,5,3,3.25
Yes,Male,10,6,9,1,5,0,3,4,6,5,6,2,1,3,4,3,1,6,4,3.5
Yes,Female,9,5,6,2,5,0,2,2,1,2,6,2,1,1,2,1,2,3,1,2
Yes,Male,9,3,8,1,5,8,2,6,4,4,5,6,1,3,6,4,6,6,4,5.5
Yes,Female,10,3,8.5,2,2,0,18.5,7,6,5,1,7,1,7,6,7,5,6,6,6
Yes,Female,9,4,5,2,1,0,7,6,5,5,4,7,1,7,6,6,5,6,5,5.75
Yes,Female,9,2,8,2,1,0,19,6,1,4,3,5,4,4,5,5,6,4,4,5
Yes,Female,9,4,7,1,8,0,6,5,4,6,6,6,4,7,3,5,6,2,6,4
Yes,Male,11,8,7,4,2,0,3.5,3,6,3,6,4,2,2,5,6,5,2,6,4.5
Yes,Male,10,6,9,8,2,0,5,4,2,5,2,1,1,2,4,3,4,2,4,3.25
Yes,Female,9,1,7,1.5,1.5,0,2.5,7,2,4,2,4,1,3,4,3,2,3,4,3
Yes,Male,10,6,8,2,1,0,2,7,5,6,4,7,1,7,7,7,7,1,6,5.5
Yes,Male,10,7,5.5,0,7,0,0,7,3,3,3,2,1,1,2,2,5,3,3,3
Yes,Male,11,0,7,2,5,0,3,4,3,4,3,5,1,5,4,3,5,6,5,4.5
Yes,Male,10,3,7,2,4,16,10,7,6,7,5,7,6,3,5,5,5,3,5,4.5
Yes,Male,10,0,6,2,2,0,2,1,1,2,3,2,1,1,2,1,1,5,2,2.25
Yes,Male,10,0,6,2,2,0,2,2,4,3,3,6,1,1,2,2,3,5,1,3
Yes,Female,11,6,8,7,3,6,4,5,7,2,1,4,1,1,3,6,4,3,2,4
Yes,Male,12,3,6,2,3,0,9,6,2,6,6,6,1,3,4,4,3,4,2,3.75
Yes,Male,12,7,5,3,3,0,2,7,3,6,6,5,7,5,4,2,4,4,2,3.5
Yes,Female,12,4,5,1,3,0,0,1,1,1,1,3,1,1,1,1,2,1,1,1.25
Yes,Male,11,4,5,2,2,0,4,5,3,6,3,4,1,1,4,4,5,3,4,4
Yes,Male,12,1,8,0,7,0,2,3,7,3,6,5,1,2,6,7,7,1,7,5.25
Yes,Male,11,1,7,2,7,0,1,7,3,5,3,7,4,2,2,2,3,5,2,3
Yes,Male,11,7,5,2,3,0,2,3,5,1,1,5,1,1,4,2,2,4,2,3
Yes,Female,11,3,4.5,2.5,5,0,3,6,1,3,1,1,5,1,1,1,1,1,1,1
Yes,Male,10,0,4,0,10,0,3,5,4,4,3,1,1,1,7,7,7,4,5,6.25
Yes,Male,10,6,7,0.5,5,15,0,4,3,2,5,7,1,1,2,3,1,5,2,2.75
Yes,Male,10,1,6,3,3,0,7,2,1,1,3,1,1,2,1,1,1,5,1,2
Yes,Male,11,0,6,4,4,50,7,5,2,6,4,5,1,2,5,4,2,6,5,4.25
Yes,Male,12,4,6,3,4,35,9,3,1,6,5,3,1,1,6,6,6,2,3,5
Yes,Male,12,6,7,4,1,20,2,6,5,2,2,4,2,1,3,3,3,4,2,3.25
Yes,Male,12,3,6,3,4,42.5,3,1,1,5,7,3,1,1,1,1,1,1,1,1
Yes,Female,10,8,3,5,10,7,6,3,4,4,1,6,5,7,2,5,7,3,5,4.25
Yes,Female,9,0,5,2,4,0,6,6,7,6,6,7,1,5,6,7,6,6,5,6.25
Yes,Male,10,3,6,3,6,20,10,2,5,3,5,4,1,1,2,1,3,4,2,2.5
Yes,Female,11,6,5,1,2,0,22,4,2,4,5,5,1,2,4,4,4,3,4,3.75
Yes,Male,12,2,6.5,0,6,7,0,4,1,3,6,7,7,4,3,4,1,6,2,3.5
Yes,Male,11,12,7,1,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Yes,Male,12,0,5,2,5,0,0,5,4,3,6,5,1,2,3,3,5,6,3,4.25
Yes,Female,12,9,6,4,6,0,2,4,1,3,4,5,1,3,4,4,3,5,2,4
Yes,Female,10,4,7,2,3,0,0,4,1,1,3,3,1,1,1,1,1,1,1,1
Yes,Male,12,0,8,1,4,0,0,1,2,6,4,5,1,2,3,1,1,2,2,1.75
Yes,Male,12,5,4,0,4,20,0,1,1,3,4,5,5,1,3,2,1,2,3,2
Yes,Male,10,1,7,2,3,0,2,7,2,6,2,5,1,4,6,4,5,6,6,5.25
Yes,Male,9,6,8,2,4,0,8,4,5,5,3,6,1,3,5,4,3,5,3,4.25
Yes,Female,9,0,6,2,4,0,1,4,4,5,6,3,1,1,1,1,1,3,3,1.5
Yes,Male,10,1,6,1,7,0,3,6,1,3,5,5,1,1,1,1,1,5,1,2
Yes,Male,9,14,8,2,1,0,1,4,1,7,2,1,1,7,7,6,6,4,6,5.75
Yes,Female,11,4,4,7,2.5,0,4,4,4,6,3,5,1,1,2,1,2,5,4,2.5
Yes,Male,9,1,7.5,1.5,1.5,0,2,7,2,7,3,6,1,7,7,7,7,7,6,7
Yes,Male,10,3,9,3,3,20,10,7,7,5,2,6,6,4,5,5,4,3,4,4.25
Yes,Male,9,1,5,2,4,0,6,7,6,3,5,7,5,6,6,6,5,3,4,5
Yes,Female,10,1,7,2,2,0,7,6,5,5,2,4,1,5,5,5,5,2,4,4.25
Yes,Female,10,2,6,5,3,0,0,4,2,6,2,6,1,2,4,4,2,5,4,3.75
Yes,Female,9,2,7,5,2,0,3,5,7,5,3,6,6,4,5,5,3,5,5,4.5
Yes,Male,10,7,6,4,5,0,2,3,2,2,1,4,1,1,2,2,2,4,2,2.5
Yes,Female,9,1,6,4,2,20,3,5,5,6,2,6,1,2,5,4,5,3,4,4.25
Yes,Female,12,6,5.5,7,2,1,3,4,3,5,4,5,1,4,5,5,4,3,4,4.25
Yes,Female,11,6,6,3,2,0,8,7,6,6,2,7,1,6,6,6,4,6,5,5.5
Yes,Female,12,5,6,3,1,12,15,5,6,6,2,7,1,7,6,7,6,6,6,6.25
Yes,Female,11,6,6.5,6,1,0,7,6,7,5,3,7,1,1,7,7,7,3,7,6
Yes,Male,12,6,6.5,3.5,2,0,8,6,1,2,1,7,4,2,4,4,5,5,4,4.5
Yes,Male,12,5,6,1.5,2,0,1,6,4,6,5,4,1,3,4,2,3,3,4,3
Yes,Male,12,8,6,14,14,80,25,3,1,1,1,3,1,1,2,2,3,6,3,3.25
Yes,Female,12,5,4,5,2,0,0,5,1,7,5,7,1,2,5,5,2,2,2,3.5
Yes,Male,9,3,7,6,2,0,6,7,4,3,1,5,1,1,2,4,3,7,2,4
Yes,Female,9,1,7,3,2,6,2,4,5,5,3,2,1,2,5,4,2,6,3,4.25
Yes,Male,9,0,10,3,4,0,10,7,4,6,6,7,1,6,7,6,7,7,7,6.75
Yes,Female,9,3,5,3,5,5,2,6,2,1,1,3,1,1,2,1,2,7,4,3
Yes,Female,9,0,6,3,1,8,10,5,6,5,3,6,1,3,3,5,3,6,4,4.25
Yes,Female,9,1,6,4,4,0,2,7,3,4,3,6,5,2,4,4,5,5,4,4.5
Yes,Male,9,1,8.5,1.5,5.5,0,3,7,6,7,6,5,1,5,6,7,6,7,6,6.5
Yes,Female,10,1,6,2,2,0,1,4,3,7,4,6,1,5,5,4,3,4,6,4
Yes,Male,10,1,6,0.75,6,0,2,6,2,6,6,5,1,2,5,2,4,2,5,3.25
Yes,Male,12,5,7,1,2,0,2,5,2,7,7,7,1,4,4,4,4,5,5,4.25
Yes,Male,9,2,6,6,2,8,12,5,1,6,2,7,6,3,3,2,2,6,2,3.25
Yes,Female,9,1,6,5,2,0,1,7,1,7,6,7,4,3,4,3,3,3,5,3.25
Yes,Male,9,1,6,5,2,0,4.75,5,5,4,4,6,1,5,4,4,3,4,4,3.75
Yes,Female,9,1,7,4,4,0,1,3,6,6,3,7,1,6,6,6,6,6,6,6
